Actual Rating,Predicted Rating
4.1,4.1
4.1,4.09
3.6,3.67
4.4,4.4
3.9,3.9
4.0,4.0
3.9,3.96
4.0,4.02
4.1,4.1
3.8,3.8
4.1,4.1
4.2,4.16
3.3,3.3
4.2,4.2
3.9,3.9
3.9,3.9
3.2,3.2
4.1,3.74
3.9,4.01
2.9,2.9
4.7,4.7
4.4,4.4
4.1,4.1
3.6,3.6
4.2,4.2
4.5,4.5
3.1,3.1
4.1,4.1
4.2,4.2
3.7,3.7
3.5,3.5
4.2,4.2
4.1,4.1
4.2,4.2
4.5,4.5
4.1,4.1
3.9,3.92
3.9,3.9
4.1,4.1
3.7,3.7
2.6,2.6
3.0,3.03
4.2,4.2
3.8,2.83
4.2,4.2
4.0,3.97
3.9,3.9
4.1,4.1
3.7,3.7
3.1,3.1
3.7,3.7
3.7,3.7
3.9,3.72
4.2,4.2
4.2,4.17
4.1,4.1
4.1,3.89
3.8,3.8
4.5,4.5
4.2,4.2
4.5,4.5
2.7,2.7
4.1,4.1
4.2,4.2
3.9,3.91
2.8,2.77
4.1,4.14
3.8,3.74
4.2,4.2
2.6,2.6
2.6,2.6
4.1,4.1
3.9,3.9
4.2,4.2
3.8,3.8
4.5,4.5
3.6,3.6
4.2,4.2
4.0,4.0
3.6,3.6
4.2,4.2
3.9,3.9
4.0,4.0
3.7,3.7
4.0,4.0
4.2,4.2
3.7,3.7
4.3,4.25
4.1,4.14
3.9,3.9
3.6,3.6
3.8,3.8
4.1,4.1
2.6,2.6
4.1,4.1
4.6,4.6
3.8,3.8
3.9,3.9
4.0,4.0
4.5,4.5
3.7,3.7
3.6,3.6
4.1,4.15
3.9,3.85
3.4,3.4
4.2,4.2
4.0,3.67
2.9,2.9
3.7,3.7
4.3,4.3
3.7,3.7
4.0,4.0
4.2,3.93
4.2,4.2
4.0,4.0
4.3,4.3
4.4,4.4
4.2,4.21
3.5,3.5
4.2,4.19
4.4,4.4
4.1,4.1
4.1,4.1
4.1,4.1
2.8,2.8
3.9,3.9
3.8,3.8
4.5,4.5
4.3,4.3
4.3,4.29
3.1,3.06
3.9,3.89
4.3,4.3
3.7,3.93
3.8,3.8
4.3,4.3
3.8,3.8
4.0,4.0
3.9,3.9
3.8,3.8
2.7,2.6
3.7,3.58
3.8,3.8
4.3,4.3
3.9,3.91
3.9,3.9
3.5,3.6
4.0,4.0
4.4,4.4
3.1,3.12
4.5,4.5
3.0,3.03
3.6,3.6
3.5,3.53
4.0,3.46
3.4,3.4
4.7,4.8
4.2,4.1
4.1,4.1
3.7,3.7
3.8,3.8
3.1,3.1
4.1,4.1
4.0,3.95
3.7,3.65
4.4,4.39
4.0,4.1
3.7,3.7
3.1,3.41
4.5,4.5
4.1,3.92
2.7,2.7
4.2,4.2
4.5,4.5
4.4,4.39
3.5,3.5
4.4,4.4
3.4,3.68
3.8,3.8
3.3,3.3
3.9,3.73
4.1,4.17
3.4,3.4
3.9,3.9
4.1,4.1
4.4,4.4
3.7,3.56
4.1,4.0
4.3,4.3
4.0,4.1
3.9,3.9
3.7,3.7
4.4,4.4
4.3,4.3
3.8,3.8
4.4,4.4
4.1,4.1
3.9,3.9
3.9,3.9
3.6,3.6
3.2,3.2
3.9,3.9
3.8,3.81
4.1,4.1
4.4,4.4
4.0,4.0
3.9,3.9
4.3,4.3
3.7,3.7
3.9,3.9
3.5,3.9
4.1,4.1
4.1,4.1
4.1,4.1
3.9,3.9
3.8,3.8
4.3,4.3
4.0,4.0
3.8,3.8
